key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	vernacularName	institutionCode	locality	county	gbifID	collectionCode	occurrenceID	depth	depthAccuracy	higherGeography	modified	institutionID	language	type	higherClassification	collectionID	networkKeys	individualCount	lifeStage	waterBody	collectionKey	datasetName	recordedBy	preparations	verbatimEventDate	dateIdentified	nomenclaturalCode	eventRemarks	fieldNumber	locationID	occurrenceRemarks	sex	georeferenceProtocol	verbatimCoordinateSystem	samplingProtocol	eventID	verbatimDepth	ownerInstitutionCode	parentEventID
723290288	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.534+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE				Ishikawa	{}	1930.0	7.0	28.0	1930-07-28	209.0	209.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.534+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '157'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	157	9017	イトユメムシ	SMBL	N. of Noto Pen.		723290288	Art	9a63872e-f8b6-11e6-9f2d-70e2840fc270			Pacific|Japan|Ishikawa|N. of Noto Pen.	2011-12-01T05:00:40.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
723290292	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.617+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE				Ishikawa	{}	1930.0	7.0	27.0	1930-07-27	208.0	208.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.617+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '161'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	161	9021	イトユメムシ	SMBL	N. of Noto Pen.		723290292	Art	9a6428aa-f8b6-11e6-92a2-70e2840fc270			Pacific|Japan|Ishikawa|N. of Noto Pen.	2011-12-01T05:00:42.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
723290293	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.622+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE					{}	1930.0	8.0	14.0	1930-08-14	226.0	226.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.622+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '162'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	162	9022	イトユメムシ	SMBL	S. of Tobisima		723290293	Art	9a6453c0-f8b6-11e6-aba8-70e2840fc270			Pacific|Japan|S. of Tobisima	2011-12-01T05:00:42.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
723290301	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.763+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE				Aomori	{}	1930.0	8.0	18.0	1930-08-18	230.0	230.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.763+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '170'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	170	9030	イトユメムシ	SMBL	W. Aomori Pref.		723290301	Art	9a6593ca-f8b6-11e6-9d18-70e2840fc270			Pacific|Japan|Aomori|W. Aomori Pref.	2011-12-01T05:00:43.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
723290304	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.779+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE				Niigata	{}	1930.0	8.0	10.0	1930-08-10	222.0	222.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.779+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '173'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	173	9033	イトユメムシ	SMBL	NE. of Sado	Sado-shi	723290304	Art	9a660a76-f8b6-11e6-8374-70e2840fc270			Pacific|Japan|Niigata|Sado-shi|NE. of Sado	2011-12-01T05:00:44.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
723290287	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.525+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	34.703314	138.496925			{}	1928.0	7.0	2.0	1928-07-02	184.0	184.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.525+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '156'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False		WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	156	9016	イトユメムシ	SMBL			723290287	Art	9a6361a4-f8b6-11e6-862f-70e2840fc270			Pacific|Japan	2011-12-01T05:00:40.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
723290289	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.548+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE					{}	1928.0	7.0	4.0	1928-07-04	186.0	186.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.548+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '158'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	158	9018	イトユメムシ	SMBL	Suruga Bay		723290289	Art	9a63af10-f8b6-11e6-9219-70e2840fc270			Pacific|Japan|Suruga Bay	2011-12-01T05:00:41.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|cf. japonicum					Pacific																			
723290286	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.508+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE				Kochi	{}	1927.0	7.0	30.0	1927-07-30	211.0	211.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.508+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '155'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	155	9015	イトユメムシ	SMBL	Tosabae		723290286	Art	9a6338a0-f8b6-11e6-839d-70e2840fc270			Pacific|Japan|Kochi|Tosabae	2011-12-01T05:00:40.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
723290297	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.694+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE					{}	1927.0	11.0	15.0	1927-11-15	319.0	319.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.694+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '166'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	166	9026	イトユメムシ	SMBL	Suruga Bay		723290297	Art	9a64fcda-f8b6-11e6-aa3c-70e2840fc270			Pacific|Japan|Suruga Bay	2011-12-01T05:00:43.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
723290303	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.774+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE					{}	1927.0	11.0	6.0	1927-11-06	310.0	310.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.774+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '172'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	172	9032	イトユメムシ	SMBL	Sagami Bay		723290303	Art	9a65e1a4-f8b6-11e6-bb28-70e2840fc270			Pacific|Japan|Sagami Bay	2011-12-01T05:00:44.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
723290308	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.800+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE					{}	1927.0	11.0	15.0	1927-11-15	319.0	319.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.800+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '177'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	177	9037	イトユメムシ	SMBL	Suruga Bay		723290308	Art	9a66a7a6-f8b6-11e6-87c1-70e2840fc270			Pacific|Japan|Suruga Bay	2011-12-01T05:00:45.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
1317896520	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:47.986+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	41.3	140.144		Hokkaido	{}	1906.0	7.0	16.0	1906-07-16	197.0	197.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:47.986+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/31eb2cdb3-89c7-422d-a649-1d23f9464239'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Hedgpeth, J. W.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/31eb2cdb3-89c7-422d-a649-1d23f9464239	USNM 80613		USNM	Hokkaido Island, Shirakami Point		1317896520	IZ	http://n2t.net/ark:/65665/31eb2cdb3-89c7-422d-a649-1d23f9464239	454.5	75.5	North Pacific Ocean, Sea of Japan, Japan, Hokkaido	2015-09-09T10:51:00.000+00:00	urn:lsid:biocol.org:col:34871			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0		North Pacific Ocean, Sea of Japan	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	United States Fish Commission	Alcohol (Ethanol)					USFC/A4809	4809		FEMALE		Degrees Minutes Seconds					
1321687275	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:45.080+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	36.2278	135.942		Fukui	{}	1906.0	7.0	23.0	1906-07-23	204.0	204.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:45.080+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3c65735b4-c9fe-4223-ad76-e4e423a0d71e'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Hedgpeth, J. W.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3c65735b4-c9fe-4223-ad76-e4e423a0d71e	USNM 80615		USNM	Honshu Island, Anto Saki		1321687275	IZ	http://n2t.net/ark:/65665/3c65735b4-c9fe-4223-ad76-e4e423a0d71e	144.0	0.0	North Pacific Ocean, Sea of Japan, Japan, Fukui	2015-09-09T10:52:00.000+00:00	urn:lsid:biocol.org:col:34871			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0		North Pacific Ocean, Sea of Japan	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	United States Fish Commission	Alcohol (Ethanol)					USFC/A4833	4833		MALE		Degrees Minutes Seconds					
1322288436	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:55.660+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	37.3333	137.692		Ishikawa	{}	1906.0	7.0	22.0	1906-07-22	203.0	203.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:55.660+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3e0fed51d-6a14-4637-a6a8-a50a81f996ef'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Hedgpeth, J. W.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3e0fed51d-6a14-4637-a6a8-a50a81f996ef	USNM 80614		USNM	Honshu Island, Suzu		1322288436	IZ	http://n2t.net/ark:/65665/3e0fed51d-6a14-4637-a6a8-a50a81f996ef	983.0	19.0	North Pacific Ocean, Sea of Japan, Japan, Ishikawa	2015-09-09T10:52:00.000+00:00	urn:lsid:biocol.org:col:34871			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0		North Pacific Ocean, Sea of Japan	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	United States Fish Commission	Alcohol (Ethanol)					USFC/A4829	4829		MALE		Degrees Minutes Seconds					
1318123791	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:06.091+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	30.9111	130.625		Kagoshima	{}	1906.0	8.0	16.0	1906-08-16	228.0	228.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:06.091+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/328bb38dc-8a1d-42ea-b07d-9bd4df2a05bc'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Hedgpeth, J. W.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/328bb38dc-8a1d-42ea-b07d-9bd4df2a05bc	USNM 80616		USNM	Kyushu Island, Osumi Strait, Sata Misaki		1318123791	IZ	http://n2t.net/ark:/65665/328bb38dc-8a1d-42ea-b07d-9bd4df2a05bc	188.0	0.0	North Pacific Ocean, Kagoshima Gulf, Japan, Kagoshima	2015-09-09T10:52:00.000+00:00	urn:lsid:biocol.org:col:34871			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0		North Pacific Ocean, Kagoshima Gulf	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	United States Fish Commission	Alcohol (Ethanol)					USFC/A4936	4936		FEMALE		Degrees Minutes Seconds					
1321852681	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:46.425+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	30.975	130.533		Kagoshima	{}	1906.0	8.0	16.0	1906-08-16	228.0	228.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:46.425+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3cdb35dda-343c-4c3a-974b-a03f1455ea06'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Hedgpeth, J. W.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3cdb35dda-343c-4c3a-974b-a03f1455ea06	USNM 80610		USNM	Kyushu Island, Osumi Strait, Sata Misaki		1321852681	IZ	http://n2t.net/ark:/65665/3cdb35dda-343c-4c3a-974b-a03f1455ea06			North Pacific Ocean, Japan, Kagoshima	2015-09-09T10:52:00.000+00:00	urn:lsid:biocol.org:col:34871			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	20.0		North Pacific Ocean	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	United States Fish Commission	Alcohol (Ethanol)					USFC/A4934	4934				Degrees Minutes Seconds			Multiple depths recorded: 152-103		
